product_name_lenght|product_description_lenght|product_photos_qty|review_score
58.0|598.0|4.0|5
58.0|598.0|4.0|5
58.0|598.0|4.0|4
58.0|598.0|4.0|5
58.0|598.0|4.0|5
58.0|598.0|4.0|5
58.0|598.0|4.0|5
58.0|598.0|4.0|5
54.0|599.0|6.0|5
58.0|598.0|4.0|1
56.0|239.0|2.0|4
59.0|695.0|2.0|5
59.0|695.0|2.0|4
59.0|729.0|2.0|4
59.0|695.0|2.0|4
42.0|480.0|1.0|4
42.0|480.0|1.0|4
59.0|409.0|1.0|5
59.0|409.0|1.0|1
59.0|409.0|1.0|4
59.0|409.0|1.0|5
59.0|409.0|1.0|3
59.0|409.0|1.0|3
59.0|409.0|1.0|4
59.0|409.0|1.0|5
59.0|409.0|1.0|5
59.0|409.0|1.0|5
59.0|409.0|1.0|5
36.0|558.0|1.0|4
36.0|558.0|1.0|5
36.0|558.0|1.0|1
36.0|558.0|1.0|5
36.0|558.0|1.0|5
52.0|815.0|1.0|4
52.0|815.0|1.0|4
52.0|815.0|1.0|5
39.0|1310.0|3.0|5
59.0|493.0|1.0|1
59.0|493.0|1.0|5
52.0|1192.0|1.0|4
52.0|1192.0|1.0|4
52.0|1192.0|1.0|5
57.0|614.0|1.0|5
57.0|614.0|1.0|5
57.0|614.0|1.0|3
57.0|614.0|1.0|5
58.0|801.0|1.0|5
57.0|614.0|1.0|5
57.0|614.0|1.0|5
57.0|614.0|1.0|5
57.0|614.0|1.0|5
57.0|614.0|1.0|5
57.0|614.0|1.0|5
57.0|614.0|1.0|1
57.0|614.0|1.0|5
57.0|614.0|1.0|4
57.0|614.0|1.0|5
57.0|614.0|1.0|4
57.0|614.0|1.0|1
57.0|614.0|1.0|5
57.0|614.0|1.0|5
57.0|614.0|1.0|4
57.0|614.0|1.0|5
57.0|614.0|1.0|5
57.0|614.0|1.0|5
57.0|614.0|1.0|2
57.0|614.0|1.0|5
57.0|614.0|1.0|4
57.0|614.0|1.0|3
57.0|614.0|1.0|1
57.0|614.0|1.0|5
57.0|614.0|1.0|5
57.0|614.0|1.0|4
57.0|614.0|1.0|5
57.0|614.0|1.0|4
57.0|614.0|1.0|5
57.0|614.0|1.0|5
57.0|614.0|1.0|4
57.0|614.0|1.0|5
57.0|614.0|1.0|5
57.0|614.0|1.0|5
57.0|614.0|1.0|3
57.0|614.0|1.0|5
57.0|614.0|1.0|5
57.0|614.0|1.0|5
57.0|614.0|1.0|3
57.0|614.0|1.0|5
57.0|614.0|1.0|3
57.0|614.0|1.0|4
57.0|614.0|1.0|5
57.0|614.0|1.0|1
57.0|614.0|1.0|5
57.0|614.0|1.0|4
35.0|60.0|1.0|5
35.0|60.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|4
54.0|245.0|1.0|5
54.0|245.0|1.0|1
54.0|245.0|1.0|3
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|3
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|2
54.0|245.0|1.0|5
54.0|245.0|1.0|3
54.0|245.0|1.0|5
54.0|245.0|1.0|3
54.0|245.0|1.0|5
54.0|245.0|1.0|4
54.0|245.0|1.0|4
54.0|245.0|1.0|1
54.0|245.0|1.0|1
54.0|245.0|1.0|3
54.0|245.0|1.0|5
54.0|245.0|1.0|1
53.0|400.0|1.0|1
54.0|245.0|1.0|4
54.0|245.0|1.0|3
54.0|245.0|1.0|4
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|3
54.0|245.0|1.0|3
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|4
54.0|245.0|1.0|4
54.0|245.0|1.0|2
54.0|245.0|1.0|4
54.0|245.0|1.0|4
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|3
54.0|245.0|1.0|5
54.0|245.0|1.0|3
54.0|245.0|1.0|3
54.0|245.0|1.0|3
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|4
54.0|245.0|1.0|1
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|4
54.0|245.0|1.0|1
56.0|111.0|1.0|1
